Image,Accuracy,Sensitivity,Specificity,Dice
01_test_segmentation.png,0.9445953369139184,0.0,0.9445953369139184,0.10499226509750242
02_test_segmentation.png,0.9421539306639187,0.0,0.9421539306639187,0.10936575937223458
03_test_segmentation.png,0.9304656982420456,0.0,0.9304656982420456,0.13002724951134492
04_test_segmentation.png,0.9574279785154789,0.0,0.9574279785154789,0.08166730088105821
05_test_segmentation.png,0.9314117431639204,0.0,0.9314117431639204,0.12837172109492534
06_test_segmentation.png,0.9282836914061084,0.0,0.9282836914061084,0.13383450082576828
07_test_segmentation.png,0.9427337646482937,0.0,0.9427337646482937,0.10832888337252547
08_test_segmentation.png,0.9356842041014197,0.0,0.9356842041014197,0.1208584823156484
09_test_segmentation.png,0.9378814697264194,0.0,0.9378814697264194,0.11697099429653383
10_test_segmentation.png,0.9343872070311074,0.0,0.9343872070311074,0.12314565553580917
11_test_segmentation.png,0.9558868408201667,0.0,0.9558868408201667,0.08449880894967125
12_test_segmentation.png,0.9312744140623579,0.0,0.9312744140623579,0.12861222158764585
13_test_segmentation.png,0.9397277832029817,0.0,0.9397277832029817,0.11369196672709414
14_test_segmentation.png,0.93440246582017,0.0,0.93440246582017,0.12311877998136707
15_test_segmentation.png,0.9313049316404829,0.0,0.9313049316404829,0.12855878237526364
16_test_segmentation.png,0.9481811523436053,0.0,0.9481811523436053,0.09853188649682318
17_test_segmentation.png,0.9358673095701697,0.0,0.9358673095701697,0.12053513815797179
18_test_segmentation.png,0.9370880126951695,0.0,0.9370880126951695,0.11837666346055523
19_test_segmentation.png,0.9259185791014213,0.0,0.9259185791014213,0.13794377122073306
20_test_segmentation.png,0.9314422607420454,0.0,0.9314422607420454,0.12831826814603545
Average,0.9378059387205602,0.0,0.9378059387205602,0.11698745497032556
