Image,Accuracy,Sensitivity,Specificity,Dice
01_test_segmentation.png,0.9701115286701124,0.8213752426456542,0.9832537305555598,0.8169228484441938
02_test_segmentation.png,0.9701691114074139,0.7636955787013354,0.9927642705597606,0.834724204516693
03_test_segmentation.png,0.9577069947872179,0.7982322785926115,0.9726593188033157,0.7639187291704144
04_test_segmentation.png,0.9678354952115115,0.7148161630867438,0.9908129194353205,0.7872506765559212
05_test_segmentation.png,0.9719784216268343,0.8747427576377731,0.9800421409160405,0.8270223752149917
06_test_segmentation.png,0.9616741423202521,0.7796765334144442,0.9795385183730333,0.7843304454599932
07_test_segmentation.png,0.9707237240877388,0.8491250055942133,0.9795557462688674,0.7970758759766413
08_test_segmentation.png,0.9553855012728526,0.8215364802611216,0.9641089708203491,0.6926273150563355
09_test_segmentation.png,0.9654442962783075,0.7640579018528736,0.982057910725853,0.7711728345507002
10_test_segmentation.png,0.9673718026427153,0.885610859728106,0.9732410836094012,0.7842917251050322
11_test_segmentation.png,0.9718632561522313,0.772154383760347,0.9885678066018047,0.8090340628597974
12_test_segmentation.png,0.9624742393017044,0.8286373572986686,0.9733045489388984,0.7677794448610713
13_test_segmentation.png,0.9556158322220585,0.6759688069554884,0.9871834220937233,0.7554806070825046
14_test_segmentation.png,0.965586737786369,0.8559839536434785,0.973582635558053,0.7718184193073626
15_test_segmentation.png,0.9539701782033897,0.8181928490532202,0.9649680902645505,0.7270603457569768
16_test_segmentation.png,0.9744059886046498,0.8129552448094056,0.9880277501174553,0.8317293322970427
17_test_segmentation.png,0.9642411201357448,0.8666818181814242,0.9712105468242314,0.7637033625056048
18_test_segmentation.png,0.9681415929203246,0.790790755951277,0.9850578299493744,0.8121313936446345
19_test_segmentation.png,0.9663686507455156,0.8219417599183552,0.9815881864229296,0.8233158724344702
20_test_segmentation.png,0.9619105346102266,0.7707984270812888,0.980496483381242,0.7820023589813394
Average,0.9651489574493585,0.8043487079083915,0.9796010955109882,0.785169611489086
