Image,Accuracy,Sensitivity,Specificity,Dice
01_test_segmentation.png,0.9369049072264196,0.0,0.9369049072264196,0.5019930244142364
02_test_segmentation.png,0.9340972900389201,0.0,0.9340972900389201,0.5010531242683706
03_test_segmentation.png,0.9226379394529842,0.0,0.9226379394529842,0.5601001194604015
04_test_segmentation.png,0.9512481689451674,0.0,0.9512481689451674,0.4177206807493426
05_test_segmentation.png,0.9252624511717339,0.0,0.9252624511717339,0.5601707626626513
06_test_segmentation.png,0.9221496582029843,0.0,0.9221496582029843,0.5579151649567187
07_test_segmentation.png,0.9364624023436071,0.0,0.9364624023436071,0.5107047000808247
08_test_segmentation.png,0.9295806884764207,0.0,0.9295806884764207,0.5596888526437741
09_test_segmentation.png,0.9326782226561078,0.0,0.9326782226561078,0.5568415637856502
10_test_segmentation.png,0.9282836914061084,0.0,0.9282836914061084,0.5699770770085063
11_test_segmentation.png,0.9493408203123552,0.0,0.9493408203123552,0.405110394442815
12_test_segmentation.png,0.9244842529295465,0.0,0.9244842529295465,0.5846078849548567
13_test_segmentation.png,0.9338073730467326,0.0,0.9338073730467326,0.4899171665235704
14_test_segmentation.png,0.9279785156248584,0.0,0.9279785156248584,0.5880776104157595
15_test_segmentation.png,0.921401977538922,0.0,0.921401977538922,0.6380114620814087
16_test_segmentation.png,0.9417724609373563,0.0,0.9417724609373563,0.4840508298752048
17_test_segmentation.png,0.9296264648436082,0.0,0.9296264648436082,0.5784834737520554
18_test_segmentation.png,0.9294586181639207,0.0,0.9294586181639207,0.6051420838967488
19_test_segmentation.png,0.9189910888670473,0.0,0.9189910888670473,0.6309776994588132
20_test_segmentation.png,0.9232788085936091,0.0,0.9232788085936091,0.6576915191685521
Average,0.9309722900389206,0.0,0.9309722900389206,0.5479117597300129
